;;;;;;;;;;;;;;;
;High;Low;Close;TR;+DM 1;-DM 1;TR14;+DM14;-DM14;+DI14;-DI14;DI 14 Diff;DI 14 Sum;DX;ADX
12 de nov de 10;53,3672;52,11;52,51; 1,28 ;0,00;0,55;10,24;2,03;2,18;19,80;21,29;1,49;41,08;3,62;24,68
15 de nov de 10;52,88;52,29;52,315; 0,59 ;0,00;0,00;10,09;1,88;2,02;18,64;20,04;1,40;38,68;3,62;23,18
16 de nov de 10;52,2462;50,85;51,45; 1,47 ;0,00;1,44;10,84;1,75;3,32;16,12;30,62;14,50;46,74;31,02;23,74
17 de nov de 10;51,87;51,35;51,6; 0,52 ;0,00;0,00;10,58;1,62;3,08;15,33;29,11;13,79;44,44;31,02;24,26
18 de nov de 10;52,79;52,13;52,43; 1,19 ;0,92;0,00;11,02;2,43;2,86;22,02;25,97;3,95;47,99;8,22;23,11
19 de nov de 10;52,59;52,14;52,47; 0,45 ;0,00;0,00;10,68;2,25;2,66;21,10;24,88;3,78;45,97;8,22;22,05
22 de nov de 10;52,91;52,17;52,91; 0,74 ;0,32;0,00;10,66;2,41;2,47;22,63;23,15;0,52;45,78;1,13;20,56
23 de nov de 10;52,45;51,77;52,07; 1,14 ;0,00;0,40;11,04;2,24;2,69;20,30;24,38;4,09;44,68;9,15;19,74
24 de nov de 10;53,25;52,56;53,12; 1,18 ;0,80;0,00;11,43;2,88;2,50;25,20;21,86;3,34;47,06;7,09;18,84
26 de nov de 10;53,13;52,67;52,77; 0,46 ;0,00;0,00;11,07;2,67;2,32;24,15;20,96;3,20;45,11;7,09;18,00
29 de nov de 10;52,9;52,1;52,73; 0,80 ;0,00;0,57;11,08;2,48;2,72;22,41;24,59;2,18;47,00;4,63;17,04
30 de nov de 10;52,7355;51,88;52,085; 0,86 ;0,00;0,22;11,15;2,31;2,75;20,69;24,67;3,98;45,36;8,78;16,45
1 de dic de 10;53,46;52,84;53,19; 1,38 ;0,72;0,00;11,72;2,87;2,55;24,44;21,78;2,66;46,22;5,76;15,69
2 de dic de 10;53,81;53,21;53,73; 0,62 ;0,35;0,00;11,51;3,01;2,37;26,17;20,61;5,56;46,77;11,89;15,42
3 de dic de 10;53,94;53,5;53,87; 0,44 ;0,13;0,00;11,12;2,93;2,20;26,30;19,79;6,51;46,09;14,12;15,32
6 de dic de 10;53,95;53,68;53,845; 0,27 ;0,01;0,00;10,60;2,73;2,04;25,73;19,29;6,44;45,01;14,30;15,25
7 de dic de 10;54,52;53,82;53,88; 0,70 ;0,57;0,00;10,54;3,10;1,90;29,42;18,01;11,42;47,43;24,07;15,88
8 de dic de 10;54,15;53,6899;54,08; 0,46 ;0,00;0,13;10,25;2,88;1,89;28,10;18,47;9,63;46,57;20,69;16,22
9 de dic de 10;54,44;53,95;54,135; 0,49 ;0,29;0,00;10,01;2,96;1,76;29,62;17,56;12,06;47,19;25,56;16,89
10 de dic de 10;54,55;54,09;54,495; 0,46 ;0,11;0,00;9,75;2,86;1,63;29,36;16,74;12,62;46,09;27,38;17,64
13 de dic de 10;54,74;54,27;54,3; 0,47 ;0,19;0,00;9,53;2,85;1,52;29,90;15,91;13,99;45,81;30,54;18,56
14 de dic de 10;54,62;54,23;54,395; 0,39 ;0,00;0,04;9,24;2,65;1,45;28,64;15,67;12,97;44,31;29,27;19,33
15 de dic de 10;54,7;54,03;54,16; 0,67 ;0,00;0,20;9,25;2,46;1,54;26,56;16,70;9,86;43,26;22,80;19,58
16 de dic de 10;54,66;54,06;54,58; 0,60 ;0,00;0,00;9,19;2,28;1,43;24,83;15,61;9,22;40,44;22,80;19,81
17 de dic de 10;54,68;54,41;54,52; 0,27 ;0,02;0,00;8,80;2,14;1,33;24,29;15,13;9,16;39,42;23,25;20,05
20 de dic de 10;54,76;54,16;54,56; 0,60 ;0,00;0,25;8,77;1,99;1,49;22,63;16,94;5,69;39,58;14,37;19,65
21 de dic de 10;54,89;54,62;54,89; 0,33 ;0,13;0,00;8,47;1,97;1,38;23,28;16,28;7,00;39,57;17,69;19,51
22 de dic de 10;54,96;54,79;54,885; 0,17 ;0,07;0,00;8,04;1,90;1,28;23,66;15,94;7,72;39,60;19,50;19,51
23 de dic de 10;54,87;54,61;54,742; 0,27 ;0,00;0,18;7,74;1,77;1,37;22,82;17,70;5,12;40,52;12,64;19,02
27 de dic de 10;54,86;54,21;54,77; 0,65 ;0,00;0,40;7,84;1,64;1,67;20,93;21,34;0,41;42,26;0,96;17,73
28 de dic de 10;54,92;54,55;54,67; 0,37 ;0,06;0,00;7,65;1,58;1,55;20,70;20,30;0,40;41,00;0,97;16,53
29 de dic de 10;54,9;54,73;54,79; 0,23 ;0,00;0,00;7,33;1,47;1,44;20,05;19,67;0,39;39,72;0,97;15,42
30 de dic de 10;54,8;54,55;54,66; 0,25 ;0,00;0,18;7,06;1,37;1,52;19,34;21,52;2,18;40,86;5,33;14,70
31 de dic de 10;54,62;54,21;54,46; 0,45 ;0,00;0,34;7,00;1,27;1,75;18,10;24,99;6,89;43,09;16,00;14,79
3 de ene de 11;55,69;54,95;55,31; 1,23 ;1,07;0,00;7,73;2,25;1,63;29,06;21,02;8,04;50,07;16,06;14,88
4 de ene de 11;55,55;54,92;55,265; 0,63 ;0,00;0,03;7,81;2,09;1,54;26,71;19,71;7,01;46,42;15,10;14,90
5 de ene de 11;55,76;55,07;55,74; 0,69 ;0,21;0,00;7,94;2,15;1,43;27,04;17,99;9,04;45,03;20,08;15,27
6 de ene de 11;55,96;55,68;55,92; 0,28 ;0,20;0,00;7,66;2,19;1,33;28,66;17,34;11,32;46,00;24,62;15,93
7 de ene de 11;56,05;55,32;55,87; 0,73 ;0,00;0,36;7,84;2,04;1,59;25,99;20,31;5,68;46,30;12,26;15,67
10 de ene de 11;56,18;55,58;56,08; 0,60 ;0,13;0,00;7,88;2,02;1,48;25,66;18,77;6,89;44,43;15,52;15,66
11 de ene de 11;56,36;55,95;56,16; 0,41 ;0,18;0,00;7,73;2,06;1,37;26,63;17,77;8,86;44,40;19,95;15,97
12 de ene de 11;56,56;56,2;56,555; 0,40 ;0,20;0,00;7,57;2,11;1,27;27,86;16,83;11,03;44,70;24,68;16,59
13 de ene de 11;56,73;56,41;56,575; 0,32 ;0,17;0,00;7,35;2,13;1,18;28,96;16,10;12,86;45,06;28,54;17,44
14 de ene de 11;57,02;56,46;57; 0,56 ;0,29;0,00;7,39;2,27;1,10;30,69;14,88;15,81;45,57;34,70;18,68
18 de ene de 11;57,23;56,49;57,16; 0,74 ;0,21;0,00;7,60;2,32;1,02;30,47;13,43;17,04;43,90;38,81;20,11
19 de ene de 11;57,26;56,32;56,51; 0,94 ;0,00;0,17;8,00;2,15;1,12;26,89;13,98;12,91;40,86;31,59;20,93
20 de ene de 11;56,35;55,68;56,11; 0,83 ;0,00;0,64;8,26;2,00;1,68;24,18;20,32;3,86;44,51;8,67;20,06
21 de ene de 11;56,49;55,65;55,68; 0,84 ;0,14;0,00;8,51;1,99;1,56;23,44;18,32;5,12;41,76;12,27;19,50
24 de ene de 11;56,46;55,68;56,45; 0,78 ;0,00;0,00;8,68;1,85;1,45;21,33;16,67;4,66;38,01;12,27;18,99
25 de ene de 11;56,55;56,05;56,5325; 0,50 ;0,09;0,00;8,56;1,81;1,34;21,14;15,70;5,44;36,84;14,77;18,68
26 de ene de 11;56,98;56,45;56,83; 0,53 ;0,43;0,00;8,48;2,11;1,25;24,89;14,72;10,17;39,61;25,69;19,18
27 de ene de 11;57,35;56,92;57,18; 0,52 ;0,37;0,00;8,39;2,33;1,16;27,76;13,80;13,95;41,56;33,57;20,21
28 de ene de 11;57,22;55,47;55,73; 1,75 ;0,00;1,45;9,54;2,16;2,53;22,67;26,47;3,80;49,13;7,74;19,32
31 de ene de 11;56,16;55,39;56; 0,77 ;0,00;0,08;9,63;2,01;2,43;20,85;25,18;4,33;46,04;9,40;18,61
1 de feb de 11;57,18;56,36;57,05; 1,18 ;1,02;0,00;10,12;2,89;2,25;28,50;22,25;6,25;50,75;12,32;18,16
2 de feb de 11;57,17;56,84;56,955; 0,33 ;0,00;0,00;9,73;2,68;2,09;27,53;21,49;6,04;49,03;12,32;17,75
3 de feb de 11;57,14;56,4;57,0575; 0,74 ;0,00;0,44;9,77;2,49;2,38;25,45;24,37;1,08;49,82;2,17;16,63
4 de feb de 11;57,42;56,9;57,375; 0,52 ;0,28;0,00;9,60;2,59;2,21;26,99;23,05;3,94;50,03;7,88;16,01
7 de feb de 11;57,97;57,4;57,65; 0,59 ;0,55;0,00;9,51;2,95;2,05;31,08;21,60;9,48;52,69;17,99;16,15
8 de feb de 11;58,07;57,56;58,025; 0,51 ;0,10;0,00;9,34;2,84;1,91;30,46;20,42;10,03;50,88;19,72;16,40
9 de feb de 11;58,12;57,75;57,93; 0,37 ;0,05;0,00;9,04;2,69;1,77;29,76;19,59;10,18;49,35;20,62;16,71
