;;;;;;;;;;;;;;;
;High;Low;Close;TR;+DM 1;-DM 1;TR14;+DM14;-DM14;+DI14;-DI14;DI 14 Diff;DI 14 Sum;DX;ADX
26 de abr de 10;50,4362;50,0876;50,1972; 0,35 ;0,08;0,00;7,79;2,05;1,39;26,32;17,91;8,42;44,23;19,03;30,52
27 de abr de 10;50,2171;49,0023;49,1318; 1,21 ;0,00;1,09;8,45;1,90;2,38;22,54;28,18;5,64;50,71;11,12;29,14
28 de abr de 10;49,4205;48,7732;49,1616; 0,65 ;0,00;0,23;8,49;1,77;2,44;20,82;28,73;7,91;49,55;15,96;28,20
29 de abr de 10;50,1176;49,4005;50,018; 0,96 ;0,70;0,00;8,84;2,34;2,27;26,45;25,62;0,83;52,07;1,60;26,30
30 de abr de 10;50,0778;48,9923;49,0296; 1,09 ;0,00;0,41;9,30;2,17;2,51;23,36;27,02;3,66;50,38;7,26;24,94
3 de may de 10;49,9582;49,2213;49,7192; 0,93 ;0,00;0,00;9,56;2,02;2,33;21,09;24,40;3,30;45,49;7,26;23,67
4 de may de 10;49,1118;47,877;48,2256; 1,84 ;0,00;1,34;10,72;1,87;3,51;17,47;32,74;15,27;50,21;30,42;24,15
5 de may de 10;48,2952;47,4389;47,9767; 0,86 ;0,00;0,44;10,81;1,74;3,70;16,09;34,20;18,12;50,29;36,03;25,00
6 de may de 10;48,1161;41,3746;46,3734; 6,74 ;0,00;6,06;16,78;1,61;9,50;9,62;56,60;46,98;66,22;70,94;28,28
7 de may de 10;46,6025;44,0964;45,2183; 2,51 ;0,00;0,00;18,09;1,50;8,82;8,29;48,76;40,47;57,05;70,94;31,33
10 de may de 10;47,5982;47,1103;47,5683; 2,38 ;1,00;0,00;19,18;2,39;8,19;12,45;42,71;30,25;55,16;54,85;33,01
11 de may de 10;48,1858;47,0007;47,5185; 1,19 ;0,59;0,00;18,99;2,81;7,60;14,77;40,04;25,27;54,81;46,11;33,95
12 de may de 10;48,4545;47,6978;48,4147; 0,94 ;0,27;0,00;18,57;2,87;7,06;15,47;38,02;22,55;53,50;42,15;34,53
13 de may de 10;48,584;47,5286;47,648; 1,06 ;0,00;0,17;18,30;2,67;6,73;14,58;36,76;22,18;51,34;43,20;35,15
14 de may de 10;47,3194;46,1842;46,7319; 1,46 ;0,00;1,34;18,46;2,48;7,59;13,42;41,12;27,70;54,55;50,78;36,27
17 de may de 10;47,0705;45,8756;46,8812; 1,19 ;0,00;0,31;18,33;2,30;7,36;12,55;40,13;27,58;52,68;52,35;37,42
18 de may de 10;47,3791;46,0249;46,234; 1,35 ;0,31;0,00;18,38;2,44;6,83;13,30;37,17;23,87;50,47;47,29;38,12
19 de may de 10;46,4332;45,3577;45,8656; 1,08 ;0,00;0,67;18,14;2,27;7,01;12,51;38,64;26,13;51,16;51,08;39,05
20 de may de 10;45,0889;44,0632;44,1628; 1,80 ;0,00;1,29;18,65;2,11;7,80;11,31;41,85;30,55;53,16;57,46;40,36
21 de may de 10;45,4474;43,3065;44,6507; 2,14 ;0,00;0,76;19,46;1,96;8,00;10,06;41,14;31,07;51,20;60,70;41,81
24 de may de 10;45,1337;44,4516;44,4714; 0,68 ;0,00;0,00;18,75;1,82;7,43;9,70;39,64;29,94;49,33;60,70;43,16
25 de may de 10;44,571;43,0476;44,5113; 1,52 ;0,00;1,40;18,93;1,69;8,30;8,92;43,87;34,95;52,78;66,22;44,81
26 de may de 10;45,3776;43,9338;44,0134; 1,44 ;0,81;0,00;19,02;2,37;7,71;12,48;40,54;28,06;53,01;52,92;45,39
27 de may de 10;45,6963;44,8996;45,6763; 1,68 ;0,32;0,00;19,35;2,52;7,16;13,04;37,01;23,97;50,05;47,89;45,57
28 de may de 10;45,7958;45,0092;45,4075; 0,79 ;0,10;0,00;18,75;2,44;6,65;13,02;35,46;22,43;48,48;46,27;45,62
1 de jun de 10;46,0547;44,9394;44,9892; 1,12 ;0,26;0,00;18,53;2,53;6,17;13,64;33,32;19,69;46,96;41,92;45,35
2 de jun de 10;46,0847;44,9394;46,0547; 1,15 ;0,03;0,00;18,35;2,38;5,73;12,95;31,24;18,29;44,19;41,40;45,07
3 de jun de 10;46,5725;45,8854;46,4929; 0,69 ;0,49;0,00;17,73;2,69;5,32;15,20;30,03;14,83;45,23;32,79;44,19
4 de jun de 10;46,0945;44,7478;44,9021; 1,75 ;0,00;1,14;18,21;2,50;6,08;13,74;33,40;19,66;47,14;41,70;44,02
7 de jun de 10;45,2681;44,0334;44,0831; 1,23 ;0,00;0,71;18,14;2,32;6,36;12,81;35,07;22,26;47,87;46,50;44,19
8 de jun de 10;44,2923;43,406;44,0034; 0,89 ;0,00;0,63;17,73;2,16;6,53;12,17;36,85;24,69;49,02;50,36;44,63
9 de jun de 10;44,7205;43,5056;43,635; 1,21 ;0,43;0,00;17,68;2,43;6,07;13,75;34,32;20,57;48,07;42,78;44,50
10 de jun de 10;44,9296;44,0532;44,8798; 1,29 ;0,21;0,00;17,71;2,47;5,63;13,93;31,81;17,88;45,74;39,10;44,12
11 de jun de 10;45,3478;44,4216;45,3079; 0,93 ;0,42;0,00;17,37;2,71;5,23;15,59;30,12;14,52;45,71;31,77;43,23
14 de jun de 10;46,0448;45,2183;45,298; 0,83 ;0,70;0,00;16,96;3,21;4,86;18,94;28,65;9,70;47,59;20,39;41,60
15 de jun de 10;46,5725;45,2613;46,5128; 1,31 ;0,53;0,00;17,06;3,51;4,51;20,58;26,45;5,86;47,03;12,47;39,52
16 de jun de 10;46,941;46,3037;46,702; 0,64 ;0,37;0,00;16,48;3,63;4,19;22,02;25,42;3,40;47,44;7,17;37,21
17 de jun de 10;46,9809;46,4431;46,8514; 0,54 ;0,04;0,00;15,84;3,41;3,89;21,53;24,56;3,03;46,08;6,58;35,02
18 de jun de 10;47,2298;46,7509;46,8906; 0,48 ;0,25;0,00;15,18;3,41;3,61;22,49;23,78;1,30;46,27;2,81;32,72
21 de jun de 10;47,569;46,2221;46,4915; 1,35 ;0,00;0,53;15,45;3,17;3,88;20,52;25,13;4,61;45,66;10,09;31,11
22 de jun de 10;47,0303;46,0426;46,1324; 0,99 ;0,00;0,18;15,33;2,94;3,78;19,20;24,69;5,48;43,89;12,49;29,78
23 de jun de 10;46,3618;45,5836;45,9428; 0,78 ;0,00;0,46;15,01;2,73;3,97;18,21;26,46;8,26;44,67;18,48;28,97
24 de jun de 10;45,8829;45,0948;45,2444; 0,85 ;0,00;0,49;14,79;2,54;4,18;17,16;28,25;11,09;45,41;24,41;28,64
25 de jun de 10;45,5537;44,8454;45,1646; 0,71 ;0,00;0,25;14,44;2,36;4,13;16,32;28,59;12,27;44,91;27,32;28,55
28 de jun de 10;45,444;44,7057;45,005; 0,74 ;0,00;0,14;14,15;2,19;3,97;15,47;28,09;12,62;43,56;28,97;28,58
29 de jun de 10;44,3565;42,9697;43,269; 2,04 ;0,00;1,74;15,17;2,03;5,43;13,39;35,76;22,37;49,16;45,50;29,79
30 de jun de 10;43,5683;42,5407;42,6106; 1,03 ;0,00;0,43;15,12;1,89;5,47;12,48;36,17;23,68;48,65;48,68;31,14
1 de jul de 10;42,86;41,6728;42,4909; 1,19 ;0,00;0,87;15,22;1,75;5,94;11,51;39,05;27,54;50,56;54,47;32,80
2 de jul de 10;42,7218;41,992;42,3711; 0,73 ;0,00;0,00;14,87;1,63;5,52;10,95;37,13;26,19;48,08;54,47;34,35
6 de jul de 10;43,269;42,1516;42,5008; 1,12 ;0,55;0,00;14,92;2,06;5,13;13,79;34,35;20,56;48,14;42,70;34,95
7 de jul de 10;43,9075;42,6006;43,8577; 1,41 ;0,64;0,00;15,26;2,55;4,76;16,71;31,19;14,48;47,89;30,24;34,61
8 de jul de 10;44,2767;43,5783;44,0971; 0,70 ;0,37;0,00;14,87;2,74;4,42;18,40;29,72;11,32;48,12;23,52;33,82
9 de jul de 10;44,5261;43,9774;44,5161; 0,55 ;0,25;0,00;14,36;2,79;4,10;19,44;28,58;9,15;48,02;19,05;32,76
12 de jul de 10;44,9252;44,3565;44,6458; 0,57 ;0,40;0,00;13,90;2,99;3,81;21,51;27,42;5,90;48,93;12,06;31,29
13 de jul de 10;45,3941;44,6957;45,2245; 0,75 ;0,47;0,00;13,66;3,25;3,54;23,77;25,91;2,15;49,68;4,32;29,36
14 de jul de 10;45,7034;45,1347;45,4539; 0,57 ;0,31;0,00;13,25;3,32;3,29;25,08;24,80;0,28;49,88;0,56;27,30
15 de jul de 10;45,6335;44,8853;45,4938; 0,75 ;0,00;0,25;13,05;3,09;3,30;23,64;25,29;1,65;48,93;3,36;25,59
16 de jul de 10;45,5219;44,1969;44,2368; 1,33 ;0,00;0,69;13,44;2,87;3,75;21,31;27,92;6,60;49,23;13,41;24,72
19 de jul de 10;44,7057;43,9973;44,6159; 0,71 ;0,00;0,20;13,19;2,66;3,68;20,17;27,93;7,76;48,10;16,14;24,11
20 de jul de 10;45,1546;43,7579;45,1546; 1,40 ;0,45;0,00;13,65;2,92;3,42;21,39;25,07;3,68;46,47;7,92;22,95
21 de jul de 10;45,6535;44,4563;44,5361; 1,20 ;0,50;0,00;13,87;3,21;3,18;23,14;22,91;0,24;46,05;0,51;21,35
22 de jul de 10;45,873;45,1347;45,6635; 1,34 ;0,22;0,00;14,22;3,20;2,95;22,51;20,75;1,76;43,27;4,06;20,11
