Date;Open;High;Low;Close;px Change;Volatility;Change;Gain;Loss;Av Gain;Av Loss;RS;RSI
05/10/2015;1173;1189.34998;1162;1181.75;;;;;;;;;
06/10/2015;1187.05005;1192.55005;1148.09998;1154.59998;-2.32 %;;-27.15002;0;27.15002;;;;
07/10/2015;1156;1168.75;1128.44995;1133.19995;-1.87 %;;-21.40003;0;21.40003;;;;
08/10/2015;1136.40002;1149.59998;1126.05005;1132.15002;-0.09 %;;-1.0499299999999;0;1.0499299999999;;;;
09/10/2015;1136;1172.90002;1136;1167.40002;3.07 %;;35.25;35.25;0;;;;
12/10/2015;1199;1219.80005;1109;1122.90002;-3.89 %;;-44.5;0;44.5;;;;
13/10/2015;1107.44995;1111;1085.19995;1099.40002;-2.12 %;;-23.5;0;23.5;;;;
14/10/2015;1091.44995;1115.55005;1087.19995;1097.59998;-0.16 %;;-1.80004000000008;0;1.80004000000008;;;;
15/10/2015;1099.90002;1104.34998;1089.09998;1097.34998;-0.02 %;;-0.25;0;0.25;;;;
16/10/2015;1099;1101.40002;1090;1094.90002;-0.22 %;;-2.44995999999992;0;2.44995999999992;;;;
19/10/2015;1102;1116;1100.5;1111.94995;1.55 %;;17.0499299999999;17.0499299999999;0;;;;
20/10/2015;1113;1130;1110.59998;1125.94995;1.25 %;;14;14;0;;;;
21/10/2015;1125;1146.84998;1125;1138.40002;1.10 %;;12.4500700000001;12.4500700000001;0;;;;
22/10/2015;1138.40002;1138.40002;1138.40002;1138.40002;0.00 %;;0;0;0;;;;
23/10/2015;1141.80005;1153;1125.09998;1149.90002;1.01 %;29.07 %;11.5;11.5;0;6.44642857142857;8.72142714285714;0.739148360220862;42.5005926536937
26/10/2015;1154;1158.5;1143.15002;1152.15002;0.20 %;27.41 %;2.25;2.25;0;6.60714285714286;6.78213999999999;0.974197356165291;49.3465029280348
27/10/2015;1150;1155;1144.09998;1149.40002;-0.24 %;26.12 %;-2.75;0;2.75;6.60714285714286;5.44999499999999;1.21232090252246;54.7986009235905
28/10/2015;1144.5;1158;1139;1153.19995;0.33 %;26.12 %;3.7999299999999;3.7999299999999;0;6.87856642857142;5.375;1.27973328903654;56.1352196413021
